30217	892	NULL	NULL	ERPID	NULL	NULL	24	0
30217	1554	3707	NULL	Item Type	NULL	NULL	25	1
30217	1557	6887	NULL	Garment Factory	NULL	NULL	26	1
30218	4	6	NULL	Sketch	NULL	NULL	1	1
30218	57	22	NULL	Style #	NULL	NULL	2	1
30218	2	23	NULL	Description	NULL	NULL	3	1
30218	197	1	NULL	Product Class	NULL	NULL	4	1
30218	198	149	NULL	Type Group	NULL	NULL	5	1
30218	199	2	NULL	Product Type	NULL	NULL	6	1
30218	1542	141	NULL	Brand	NULL	NULL	7	1
30218	200	3	NULL	Season	NULL	NULL	8	1
30218	201	4	NULL	Collection	NULL	NULL	9	1
30218	202	5	NULL	Group	NULL	NULL	10	1
30218	141	10	NULL	Size Range	NULL	NULL	11	1
30218	142	11	NULL	Dimension	NULL	NULL	12	1
30218	143	3006	NULL	Sample Status	NULL	NULL	13	1
30218	144	3004	NULL	Style Status	NULL	NULL	14	1
30218	146	146	NULL	Ship Date 1	NULL	NULL	15	1
30218	147	147	NULL	Ship Date 2	NULL	NULL	16	1
30218	148	148	NULL	CancelByDate	NULL	NULL	17	1
30218	140	47	NULL	Composition	NULL	NULL	18	1
30218	149	56	NULL	Supplier	NULL	NULL	19	1
30218	150	103	NULL	Country Of Origin	NULL	NULL	20	1
30218	694	NULL	NULL	Created By	NULL	NULL	21	1
30218	695	NULL	NULL	Created Date	NULL	NULL	22	1
30218	877	NULL	NULL	ID	NULL	NULL	23	0
30218	892	NULL	NULL	ERPID	NULL	NULL	24	0
30218	1554	3707	NULL	Item Type	NULL	NULL	25	1
30218	1557	6887	NULL	Garment Factory	NULL	NULL	26	1
30219	4	6	NULL	Sketch	NULL	NULL	1	1
30219	57	22	NULL	Style #	NULL	NULL	2	1
30219	2	23	NULL	Description	NULL	NULL	3	1
30219	197	1	NULL	Product Class	NULL	NULL	4	1
30219	198	149	NULL	Type Group	NULL	NULL	5	1
30219	199	2	NULL	Product Type	NULL	NULL	6	1
30219	1542	141	NULL	Brand	NULL	NULL	7	1
30219	200	3	NULL	Season	NULL	NULL	8	1
30219	201	4	NULL	Collection	NULL	NULL	9	1
30219	202	5	NULL	Group	NULL	NULL	10	1
30219	141	10	NULL	Size Range	NULL	NULL	11	1
30219	142	11	NULL	Dimension	NULL	NULL	12	1
30219	143	3006	NULL	Sample Status	NULL	NULL	13	1
30219	144	3004	NULL	Style Status	NULL	NULL	14	1
30219	146	146	NULL	Ship Date 1	NULL	NULL	15	1
30219	147	147	NULL	Ship Date 2	NULL	NULL	16	1
30219	148	148	NULL	CancelByDate	NULL	NULL	17	1
30219	140	47	NULL	Composition	NULL	NULL	18	1
30219	149	56	NULL	Supplier	NULL	NULL	19	1
30219	150	103	NULL	Country Of Origin	NULL	NULL	20	1
30219	694	NULL	NULL	Created By	NULL	NULL	21	1
30219	695	NULL	NULL	Created Date	NULL	NULL	22	1
30219	877	NULL	NULL	ID	NULL	NULL	23	0
30219	892	NULL	NULL	ERPID	NULL	NULL	24	0
30219	1554	3707	NULL	Item Type	NULL	NULL	25	1
30219	1557	6887	NULL	Garment Factory	NULL	NULL	26	1
30221	4	6	NULL	Sketch	NULL	NULL	1	1
30221	57	22	NULL	Style #	NULL	NULL	2	1
30221	2	23	NULL	Description	NULL	NULL	3	1
30221	197	1	NULL	Product Class	NULL	NULL	4	1
30221	198	149	NULL	Type Group	NULL	NULL	5	1
30221	199	2	NULL	Product Type	NULL	NULL	6	1
30221	1542	141	NULL	Brand	NULL	NULL	7	1
30221	200	3	NULL	Season	NULL	NULL	8	1
30221	201	4	NULL	Collection	NULL	NULL	9	1
30221	202	5	NULL	Group	NULL	NULL	10	1
30221	141	10	NULL	Size Range	NULL	NULL	11	1
30221	142	11	NULL	Dimension	NULL	NULL	12	1
30221	143	3006	NULL	Sample Status	NULL	NULL	13	1
30221	144	3004	NULL	Style Status	NULL	NULL	14	1
30221	146	146	NULL	Ship Date 1	NULL	NULL	15	1
30221	147	147	NULL	Ship Date 2	NULL	NULL	16	1
30221	148	148	NULL	CancelByDate	NULL	NULL	17	1
30221	140	47	NULL	Composition	NULL	NULL	18	1
30221	149	56	NULL	Supplier	NULL	NULL	19	1
30221	150	103	NULL	Country Of Origin	NULL	NULL	20	1
30221	694	NULL	NULL	Created By	NULL	NULL	21	1
30221	695	NULL	NULL	Created Date	NULL	NULL	22	1
30221	877	NULL	NULL	ID	NULL	NULL	23	0
30221	892	NULL	NULL	ERPID	NULL	NULL	24	0
30221	1554	3707	NULL	Item Type	NULL	NULL	25	1
30221	1557	6887	NULL	Garment Factory	NULL	NULL	26	1
30223	1591	35	7976	Active	NULL	NULL	1	0
30223	1537	5345	7581	Main	NULL	NULL	2	0
30223	1524	1	NULL	Product Class	NULL	NULL	3	1
30223	1525	22	NULL	Style #	NULL	NULL	4	1
30223	1529	35	635	Color	NULL	NULL	5	1
30223	1538	5345	7648	Fabric Type	NULL	NULL	6	1
30223	1505	35	325	Swatch	NULL	NULL	7	0
30223	1507	35	7631	CAN Qty	NULL	NULL	8	1
30223	1508	35	7632	USA Qty	NULL	NULL	9	1
30223	1531	2	NULL	Product Type	NULL	NULL	10	1
30223	1563	4	NULL	Collection	NULL	NULL	11	1
30223	1532	10	NULL	Size Range	NULL	NULL	12	1
30223	1533	121	NULL	Long Description	NULL	NULL	13	1
30223	1562	5345	7046	Final Total Composition	NULL	NULL	14	1
30223	1535	6887	NULL	Factory	NULL	NULL	15	1
30223	1509	35	7633	FOB Price	NULL	NULL	16	1
30223	1536	6805	NULL	COO	NULL	NULL	17	1
30223	1516	35	7640	CAN Qty Total	NULL	NULL	18	1
30223	1517	35	7641	USA Qty Total	NULL	NULL	19	1
30223	1684	35	8042	CAD	NULL	NULL	20	0
30223	1686	35	8049	CAD VIP/Price	NULL	NULL	21	1
30223	1680	35	8043	CAD WS Price	NULL	NULL	22	1
30223	1681	35	8044	CAD RET Price	NULL	NULL	23	1
30223	1685	35	8045	USD	NULL	NULL	24	0
30223	1687	35	8050	USD VIP/Price	NULL	NULL	25	1
30223	1682	35	8046	USD WS Price	NULL	NULL	26	1
30223	1683	35	8047	USD RET Price	NULL	NULL	27	1
30223	1518	35	7642	CAN PO #s	NULL	NULL	28	1
30223	1519	35	7643	CAN ETA	NULL	NULL	29	1
30223	1520	35	7644	USA PO #s	NULL	NULL	30	1
30223	1521	35	7645	USA ETA	NULL	NULL	31	1
30224	1493	7027	7621	ID	NULL	NULL	1	0
30224	1540	22	NULL	Trim #	NULL	NULL	2	1
30224	1541	23	NULL	Description	NULL	NULL	3	1
30224	1487	7027	7605	Combo Color	NULL	NULL	4	1
30224	1488	7027	7606	Date	NULL	NULL	5	1
30224	1489	7027	7607	Season	NULL	NULL	6	1
30224	1490	7027	7612	Status	NULL	NULL	7	1
30224	1491	7027	7613	Comment	NULL	NULL	8	1
30228	1434	6832	NULL	Req #	NULL	NULL	1	1
30228	1430	6819	NULL	Req By	NULL	NULL	2	1
30228	1439	6837	NULL	Status	NULL	NULL	3	1
30228	1428	6817	NULL	Req Type	NULL	NULL	4	1
30228	1556	7154	NULL	Request Name	NULL	NULL	5	1
30228	1429	6818	NULL	Req Date	NULL	NULL	6	1
30228	1432	6820	NULL	Deliver By	NULL	NULL	7	1
30228	1433	6821	NULL	Additional Info	NULL	NULL	8	1
30228	1435	6835	NULL	Can Complete By	NULL	NULL	9	1
30228	1442	6839	NULL	Days Needed	NULL	NULL	10	1
30228	1436	6836	NULL	Extra Days Needed	NULL	NULL	11	1
30228	1441	6840	NULL	Revised Complete By	NULL	NULL	12	1
30228	1437	6833	NULL	Handled By	NULL	NULL	13	1
30228	1438	6834	NULL	Performed By	NULL	NULL	14	1
30228	1440	6838	NULL	Completed Date	NULL	NULL	15	1
30228	1443	6841	NULL	File	NULL	NULL	16	1
30228	1431	6831	NULL	Requestor Role	NULL	NULL	17	0
30228	1472	NULL	NULL	Created By	NULL	NULL	18	1
30228	1473	NULL	NULL	Created Date	NULL	NULL	19	1
30229	1587	189	NULL	Designer	NULL	NULL	1	1
30229	1579	3133	NULL	Fabric Mill	NULL	NULL	2	1
30229	1566	22	NULL	Fabric #	NULL	NULL	3	1
30229	1581	3916	NULL	Supplier Fabric #	NULL	NULL	4	1
30229	1572	3130	NULL	Fabric Type	NULL	NULL	5	1
30229	1567	23	NULL	Description	NULL	NULL	6	1
30229	1585	7089	NULL	Final Composition	NULL	NULL	7	1
30229	1623	3355	NULL	Weight B/W GSM	NULL	NULL	8	1
30229	1622	3357	NULL	Weight A/W GSM	NULL	NULL	9	1
30229	1626	7141	NULL	Final Weight GSM	NULL	NULL	10	1
30229	1676	5122	NULL	Construction Yarn Count	NULL	NULL	11	1
30229	1628	6877	NULL	% Shrkg Warp	NULL	NULL	12	1
30229	1629	6878	NULL	% Shrkg Weft	NULL	NULL	13	1
30229	1630	7144	NULL	Width "	NULL	NULL	14	1
30229	1632	3381	NULL	Cuttable Width "	NULL	NULL	15	1
30229	1666	5094	NULL	Price/M $USD	NULL	NULL	16	1
30229	1637	5336	NULL	Price/Y $USD	NULL	NULL	17	1
30229	1668	5339	NULL	Payment Terms	NULL	NULL	18	1
30229	1639	6845	NULL	MOQ	NULL	NULL	19	1
30229	1670	6846	NULL	MCQ	NULL	NULL	20	1
30229	1641	6847	NULL	Lead Time	NULL	NULL	21	1
30229	1672	6848	NULL	Remarks	NULL	NULL	22	1
30229	1643	7055	NULL	Rmb Cost/M	NULL	NULL	23	1
30229	1674	7054	NULL	Rmb Cost/Y	NULL	NULL	24	1
30229	1675	7056	NULL	Rmb Payment Terms	NULL	NULL	25	1
30231	1689	7290	NULL	Fabric Code	NULL	NULL	1	1
30231	1690	7301	NULL	Fabric Content	NULL	NULL	2	1
30231	1691	7291	NULL	Fabric Weight	NULL	NULL	3	1
30231	1692	7292	NULL	UOM	NULL	NULL	4	1
30231	1696	22	NULL	Style #	NULL	NULL	5	1
30231	1697	5239	NULL	Fit	NULL	NULL	6	1
30231	1698	5083	NULL	New/Carryover	NULL	NULL	7	1
30231	1699	5234	NULL	Ref# from Past SS	NULL	NULL	8	1
30231	1704	7354	NULL	Colors	NULL	NULL	9	1
30231	1705	5098	NULL	Comments	NULL	NULL	10	1
30231	1706	6	NULL	Sketch	NULL	NULL	11	1
30233	1591	35	7976	Active	NULL	NULL	1	0
30233	1537	5345	7581	Main	NULL	NULL	2	0
30233	1524	1	NULL	Product Class	NULL	NULL	3	1
30233	1525	22	NULL	Style #	NULL	NULL	4	1
30233	1529	35	635	Color	NULL	NULL	5	1
30233	1538	5345	7648	Fabric Type	NULL	NULL	6	1
30233	1505	35	325	Swatch	NULL	NULL	7	0
30233	1507	35	7631	CAN Qty	NULL	NULL	8	1
30233	1508	35	7632	USA Qty	NULL	NULL	9	1
30233	1531	2	NULL	Product Type	NULL	NULL	10	1
30233	1563	4	NULL	Collection	NULL	NULL	11	1
30233	1532	10	NULL	Size Range	NULL	NULL	12	1
30233	1533	121	NULL	Long Description	NULL	NULL	13	1
30233	1562	5345	7046	Final Total Composition	NULL	NULL	14	1
30233	1535	6887	NULL	Factory	NULL	NULL	15	1
30233	1509	35	7633	FOB Price	NULL	NULL	16	1
30233	1536	6805	NULL	COO	NULL	NULL	17	1
30233	1516	35	7640	CAN Qty Total	NULL	NULL	18	1
30233	1517	35	7641	USA Qty Total	NULL	NULL	19	1
30233	1684	35	8042	CAD	NULL	NULL	20	0
30233	1686	35	8049	CAD VIP/Price	NULL	NULL	21	1
30233	1680	35	8043	CAD WS Price	NULL	NULL	22	1
30233	1681	35	8044	CAD RET Price	NULL	NULL	23	1
30233	1685	35	8045	USD	NULL	NULL	24	0
30233	1687	35	8050	USD VIP/Price	NULL	NULL	25	1
30233	1682	35	8046	USD WS Price	NULL	NULL	26	1
30233	1683	35	8047	USD RET Price	NULL	NULL	27	1
30233	1518	35	7642	CAN PO #s	NULL	NULL	28	1
30233	1519	35	7643	CAN ETA	NULL	NULL	29	1
30233	1520	35	7644	USA PO #s	NULL	NULL	30	1
30233	1521	35	7645	USA ETA	NULL	NULL	31	1
